Rang 2020,Rang 2019,Kommun,Folkmängd 2020,Folkmängd 2019,Förändring
1,1.0,Stockholm,975551,974073.0,1478
2,2.0,Göteborg,583056,579281.0,3775
3,3.0,Malmö,347949,344166.0,3783
4,4.0,Uppsala,233839,230767.0,3072
5,5.0,Linköping,164616,163051.0,1565
6,6.0,Örebro,156381,155696.0,685
7,7.0,Västerås,155551,154049.0,1502
8,8.0,Helsingborg,149280,147734.0,1546
9,9.0,Norrköping,143478,143171.0,307
10,10.0,Jönköping,142427,141081.0,1346
11,11.0,Umeå,130224,128901.0,1323
12,12.0,Lund,125941,124935.0,1006
13,13.0,Borås,113714,113179.0,535
14,14.0,Huddinge,113234,112848.0,386
15,15.0,Eskilstuna,106975,106859.0,116
16,16.0,Nacka,106505,105189.0,1316
17,17.0,Halmstad,103754,102767.0,987
18,18.0,Gävle,102904,102418.0,486
19,20.0,Södertälje,100111,98979.0,1132
20,19.0,Sundsvall,99439,99449.0,-10
21,22.0,Växjö,94859,94129.0,730
22,21.0,Botkyrka,94847,94606.0,241
23,23.0,Karlstad,94828,93898.0,930
24,24.0,Haninge,93690,92095.0,1595
25,25.0,Kristianstad,86217,85747.0,470
26,26.0,Kungsbacka,84930,84395.0,535
27,27.0,Solna,83162,82429.0,733
28,28.0,Järfälla,81274,79990.0,1284
29,29.0,Luleå,78549,78105.0,444
30,30.0,Sollentuna,73990,73857.0,133
31,31.0,Skellefteå,72840,72589.0,251
32,32.0,Täby,72755,71874.0,881
33,33.0,Kalmar,70329,69467.0,862
34,34.0,Mölndal,69901,69364.0,537
35,35.0,Karlskrona,66515,66622.0,-107
36,36.0,Varberg,65397,64601.0,796
37,37.0,Östersund,63985,63779.0,206
38,38.0,Norrtälje,63673,62622.0,1051
39,39.0,Gotland,60124,59686.0,438
40,40.0,Falun,59528,59406.0,122
41,41.0,Trollhättan,59249,59058.0,191
42,43.0,Nyköping,57071,56591.0,480
43,44.0,Skövde,56791,56366.0,425
44,42.0,Uddevalla,56787,56703.0,84
45,45.0,Örnsköldsvik,55807,55998.0,-191
46,47.0,Sundbyberg,52801,52414.0,387
47,46.0,Borlänge,52394,52590.0,-196
48,48.0,Hässleholm,52010,52145.0,-135
49,49.0,Sigtuna,49537,48964.0,573
50,50.0,Tyresö,48678,48333.0,345
